id,tokens,slots,intent
train-00001,oui bonjour je voudrais,O O O O,
train-00002,ce serait pour réserver,command-tache-B command-tache-I command-tache-I command-tache-I,
train-00003,oui,reponse-B,
train-00004,une réservation,command-tache-B command-tache-I,
train-00005,réservation,command-tache-B,
train-00006,Marseille,localisation-ville-B,
train-00007,oui,reponse-B,
train-00008,euh la troisième semaine d' août,O rang-temps-B rang-temps-I temps-unite-B temps-mois-B temps-mois-I,
train-00009,hein,O,
train-00010,plus d' informations,command-tache-B command-tache-I command-tache-I,
train-00011,les les tarifs,lienRef-coRef-B lienRef-coRef-I objet-B,
train-00012,réserver,command-tache-B,
train-00013,une chambre pour deux adultes,nombre-chambre-B nombre-chambre-I sejour-nbAdulte-B sejour-nbAdulte-I sejour-nbAdulte-I,
train-00014,oui,reponse-B,
train-00015,Campanile,hotel-marque-B,
train-00016,oui,reponse-B,
train-00017,non,reponse-B,
train-00018,oui,reponse-B,
train-00019,une euh réservation d' hôtel,command-tache-B command-tache-I command-tache-I objetBD-B objetBD-I,
train-00020,à Marseille,localisation-ville-B localisation-ville-I,
train-00021,la troisième semaine d' août,rang-temps-B rang-temps-I temps-unite-B temps-mois-B temps-mois-I,
train-00022,c' est sans importance,reponse-B reponse-I reponse-I reponse-I,
train-00023,alors j' ai des informations supplémentaires je voudrais une chambre pour un couple deux adultes moins de deux cents euros,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O O nombre-chambre-B nombre-chambre-I sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I sejour-nbAdulte-B sejour-nbAdulte-I comparatif-paiement-B comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B,
train-00024,réserver dans l' un de ces hôtels,command-tache-B O nombre-hotel-B nombre-hotel-I lienRef-coRef-B lienRef-coRef-I objetBD-B,
train-00025,Gardanne,nom-B,
train-00026,très bien oui,O O reponse-B,
train-00027,non,reponse-B,
train-00028,au revoir,O O,
train-00029,oui,reponse-B,
train-00030,une réservation sur Nancy,command-tache-B command-tache-I localisation-ville-B localisation-ville-I,
train-00031,oui,reponse-B,
train-00032,alors une nuit le quinze juillet deux mille quatre,O sejour-nbNuit-B sejour-nbNuit-I temps-date-B temps-date-I temps-date-I temps-annee-B temps-annee-I temps-annee-I,
train-00033,oui,reponse-B,
train-00034,euh j' ai pas d' exigence d' exigence particulière,O reponse-B reponse-I reponse-I reponse-I reponse-I reponse-I reponse-I reponse-I,
train-00035,plus de détails pour l' hôtel Campanile,command-tache-B command-tache-I command-tache-I hotel-marque-B hotel-marque-I hotel-marque-I hotel-marque-I,
train-00036,savoir s' il y a un restaurant dans l' hôtel et s' il y a la douche,O O O O O hotel-services-B hotel-services-I O lienRef-coRef-B objetBD-B connectProp-B O O O O chambre-equipement-B chambre-equipement-I,
train-00037,oui,reponse-B,
train-00038,plus de détails sur cet hôtel,command-tache-B command-tache-I command-tache-I O lienRef-coRef-B objetBD-B,
train-00039,oui,reponse-B,
train-00040,le prix d' une chambre individuelle,lienRef-coRef-B objet-B nombre-chambre-B nombre-chambre-I chambre-type-B chambre-type-I,
train-00041,tout à fait,reponse-B reponse-I reponse-I,
train-00042,non je souhaite réserver,reponse-B command-tache-B command-tache-I command-tache-I,
train-00043,oui,reponse-B,
train-00044,oui,reponse-B,
train-00045,non,reponse-B,
train-00046,au revoir,O O,
train-00047,oui,reponse-B,
train-00048,oui,reponse-B,
train-00049,oui,reponse-B,
train-00050,hum celle que vous voulez,O lienRef-elsEns-B O O O,
train-00051,oui,reponse-B,
train-00052,hein,O,
train-00053,avoir plus de détails,command-tache-B command-tache-I command-tache-I command-tache-I,
train-00054,s' il y a un restaurant dans dans l' hôtel,O O O O hotel-services-B hotel-services-I O O lienRef-coRef-B objetBD-B,
train-00055,oui,reponse-B,
train-00056,d'accord,reponse-B,
train-00057,avoir plus de détails,command-tache-B command-tache-I command-tache-I command-tache-I,
train-00058,je voudrais avoir une douche dans la chambre,O O O chambre-equipement-B chambre-equipement-I O lienRef-coRef-B objet-B,
train-00059,avoir plus de détails,command-tache-B command-tache-I command-tache-I command-tache-I,
train-00060,je voudrais que le prix soit inférieur à soixante quinze euros,O O O objet-B objet-I O comparatif-paiement-B comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B,
train-00061,je réserve,command-tache-B command-tache-I,
train-00062,une chambre,nombre-chambre-B nombre-chambre-I,
train-00063,oui,reponse-B,
train-00064,un seul,nombre-B nombre-I,
train-00065,un adulte,sejour-nbAdulte-B sejour-nbAdulte-I,
train-00066,hein,O,
train-00067,oui,reponse-B,
train-00068,d'accord,reponse-B,
train-00069,non,reponse-B,
train-00070,au revoir,O O,
train-00071,oui,reponse-B,
train-00072,une réservation,command-tache-B command-tache-I,
train-00073,Nevers,localisation-ville-B,
train-00074,oui,reponse-B,
train-00075,les quatre derniers jours de janvier,nombre-temps-B nombre-temps-I temps-axeTps-B temps-unite-B temps-mois-B temps-mois-I,
train-00076,oui,reponse-B,
train-00077,un,nombre-B,
train-00078,plus de détails,command-tache-B command-tache-I command-tache-I,
train-00079,le p montant de la chambre,lienRef-coRef-B objet-B objet-I O lienRef-coRef-B objet-B,
train-00080,oui,reponse-B,
train-00081,une chambre individuelle,nombre-chambre-B chambre-type-B chambre-type-I,
train-00082,Ibis,hotel-marque-B,
train-00083,les quatre derniers euh quatre,nombre-temps-B nombre-temps-I temps-axeTps-B O nombre-temps-B,
train-00084,oui,reponse-B,
train-00085,non,reponse-B,
train-00086,oui,reponse-B,
